% Measurement ID: 3157
% Mode ID: 1
% Date and time: 2020-02-03 17:37:14
% Sample ID: PSE2-68
% Measurement type: spectrum
% Frequency [Hz]: 37866.91253589905
% Quality factor: 5833.688551602869
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
37912.88, -87.96075
37913.88, -87.72201
37913.88, -87.4072
37913.88, -87.11372
37913.88, -86.82504
37913.88, -86.54114
37913.88, -86.38622
37913.88, -86.31889
37913.88, -86.30517
37914.88, -86.35638
37914.88, -86.37161
37914.88, -86.3845
37914.88, -86.58848
37914.88, -86.91908
37914.88, -87.95676
37914.88, -88.4086
37915.88, -88.2746
37915.88, -88.37378
37915.88, -88.43315
37915.88, -88.41479
37915.88, -88.33134
37915.88, -88.36736
37915.88, -88.46132
37915.88, -88.45909
37916.88, -88.41204
37916.88, -88.18126
37916.88, -88.24824
